pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist
51 Peg b,51 Peg,Radial Velocity,1995,4.2308,nan,150.009,nan,5758.0,15.461
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.5,nan,565.737,nan,5750.0,21.14
47 UMa b,47 UMa,Radial Velocity,1996,1078.0,nan,804.08,nan,5872.0,13.797
55 Cnc b,55 Cnc,Radial Velocity,1996,14.6516,nan,276.0,nan,5198.0,12.586
70 Vir b,70 Vir,Radial Velocity,1996,116.688,nan,2357.027,nan,5495.0,17.901
tau Boo b,tau Boo,Radial Velocity,1996,3.3125,nan,1373.026,nan,6466.3,15.652
HD 187123 b,HD 187123,Radial Velocity,1998,3.0966,nan,166.218,nan,5790.0,45.955
HD 195019 b,HD 195019,Radial Velocity,1998,18.2013,nan,1264.963,nan,5751.0,37.668
HD 210277 b,HD 210277,Radial Velocity,1998,442.19,nan,410.001,nan,5538.0,21.298
GJ 86 b,GJ 86,Radial Velocity,1999,15.7649,nan,1404.809,nan,5182.0,10.784
HD 130322 b,HD 130322,Radial Velocity,1999,10.7087,nan,365.49,nan,5387.0,31.877
HD 134987 b,HD 134987,Radial Velocity,1999,258.18,nan,511.706,nan,5736.0,26.18
HD 177830 b,HD 177830,Radial Velocity,1999,410.1,nan,537.133,nan,4901.0,62.767
HD 192263 b,HD 192263,Radial Velocity,1999,24.3556,nan,177.985,nan,4976.0,19.636
HD 209458 b,HD 209458,Radial Velocity,1999,3.5247,15.581,232.016,nan,6091.0,48.302
HD 222582 b,HD 222582,Radial Velocity,1999,572.38,nan,2660.237,nan,5790.0,42.159
HD 75289 b,HD 75289,Radial Velocity,1999,3.5093,nan,155.737,nan,6117.0,29.116
HD 89744 b,HD 89744,Radial Velocity,1999,256.78,nan,2653.88,nan,6291.0,38.636
HR 810 b,HR 810,Radial Velocity,1999,302.8,nan,721.474,nan,6167.0,17.318
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.4878,nan,187.52,nan,5393.0,84.407
GJ 3021 b,GJ 3021,Radial Velocity,2000,133.71,nan,1071.04,350.0,5540.0,17.556
HD 12661 b,HD 12661,Radial Velocity,2000,262.7086,nan,772.327,nan,5645.0,37.848
HD 160691 b,HD 160691,Radial Velocity,2000,645.0,nan,1366.662,nan,5773.0,15.598
HD 16141 b,HD 16141,Radial Velocity,2000,75.523,nan,82.636,nan,5757.0,37.786
HD 179949 b,HD 179949,Radial Velocity,2000,3.0925,nan,291.12,nan,6168.0,27.457
HD 27442 b,HD 27442,Radial Velocity,2000,428.1,nan,495.8,nan,4846.0,18.27
HD 46375 b,HD 46375,Radial Velocity,2000,3.0236,nan,71.8,nan,5285.0,29.553
HD 52265 b,HD 52265,Radial Velocity,2000,119.27,nan,384.574,nan,6136.0,29.98
HD 92788 b,HD 92788,Radial Velocity,2000,325.803,nan,1195.041,nan,5744.0,34.654
47 UMa c,47 UMa,Radial Velocity,2001,2391.0,nan,171.621,nan,5872.0,13.797
HD 114783 b,HD 114783,Radial Velocity,2001,493.7,nan,349.6,nan,5135.0,21.063
HD 178911 B b,HD 178911 B,Radial Velocity,2001,71.484,nan,2552.175,nan,5588.0,40.973
HD 213240 b,HD 213240,Radial Velocity,2001,882.7,nan,1773.491,nan,5979.0,40.871
HD 23079 b,HD 23079,Radial Velocity,2001,735.74,nan,845.424,nan,5994.0,33.459
HD 28185 b,HD 28185,Radial Velocity,2001,385.92,nan,1859.296,nan,5602.0,39.381
HD 39091 b,HD 39091,Radial Velocity,2001,2088.8,nan,4481.381,nan,5998.0,18.27
HD 4203 b,HD 4203,Radial Velocity,2001,431.88,nan,708.761,nan,5596.0,81.38
HD 4208 b,HD 4208,Radial Velocity,2001,832.97,nan,257.442,nan,5717.0,34.194
HD 68988 b,HD 68988,Radial Velocity,2001,6.2771,nan,626.125,nan,5932.0,60.845
HD 80606 b,HD 80606,Radial Velocity,2001,111.4368,11.568,1323.469,nan,5565.0,66.471
55 Cnc d,55 Cnc,Radial Velocity,2002,4799.0,nan,1214.105,nan,5198.0,12.586
HD 108147 b,HD 108147,Radial Velocity,2002,10.8985,nan,82.95,nan,6255.7,38.92
HD 108874 b,HD 108874,Radial Velocity,2002,394.4812,nan,451.319,nan,5600.0,59.518
HD 114729 b,HD 114729,Radial Velocity,2002,1121.79,nan,262.21,nan,5844.0,37.806
HD 12661 c,HD 12661,Radial Velocity,2002,1708.0,nan,575.884,nan,5748.0,37.848
HD 141937 b,HD 141937,Radial Velocity,2002,653.22,nan,3079.773,nan,5870.0,33.362
HD 162020 b,HD 162020,Radial Velocity,2002,8.4282,nan,3127.447,nan,4723.0,30.825
HD 168746 b,HD 168746,Radial Velocity,2002,6.404,nan,85.814,nan,5570.0,41.568
HD 2039 b,HD 2039,Radial Velocity,2002,1120.0,nan,1999.151,nan,5945.0,85.692
HD 216435 b,HD 216435,Radial Velocity,2002,1311.0,nan,400.4,nan,5999.0,32.983
HD 40979 b,HD 40979,Radial Velocity,2002,264.15,nan,1484.266,nan,6165.0,34.088
HD 47536 b,HD 47536,Radial Velocity,2002,712.13,nan,2330.0,nan,4380.0,122.536
HD 49674 b,HD 49674,Radial Velocity,2002,4.9474,nan,31.783,nan,5602.0,43.04
HD 50554 b,HD 50554,Radial Velocity,2002,1293.0,nan,1574.464,nan,5987.0,31.166
HD 72659 b,HD 72659,Radial Velocity,2002,3549.0,nan,906.129,nan,5929.0,51.895
HD 73526 b,HD 73526,Radial Velocity,2002,188.3,nan,978.916,nan,5601.0,97.24
HD 76700 b,HD 76700,Radial Velocity,2002,3.971,nan,66.744,nan,5644.0,60.883
HD 83443 b,HD 83443,Radial Velocity,2002,2.9856,nan,127.767,nan,5442.0,40.899
HD 8574 b,HD 8574,Radial Velocity,2002,227.0,nan,645.195,nan,6064.0,44.826
OGLE-TR-56 b,OGLE-TR-56,Transit,2002,1.2119,15.278,441.77,2212.0,6050.0,nan
iot Dra b,iot Dra,Radial Velocity,2002,510.8544,nan,3756.732,nan,4504.0,31.328
HD 104985 b,HD 104985,Radial Velocity,2003,199.68,nan,1766.808,nan,4738.0,100.576
HD 114386 b,HD 114386,Radial Velocity,2003,937.7,nan,362.326,nan,4836.0,27.924
HD 121504 b,HD 121504,Radial Velocity,2003,63.33,nan,479.923,nan,6027.0,41.659
HD 142415 b,HD 142415,Radial Velocity,2003,386.3,nan,530.776,nan,5940.0,35.532
HD 147513 b,HD 147513,Radial Velocity,2003,528.4,nan,385.0,nan,5883.0,12.903
HD 19994 b,HD 19994,Radial Velocity,2003,466.2,nan,435.41,nan,6188.0,22.524
HD 216770 b,HD 216770,Radial Velocity,2003,118.45,nan,181.163,nan,5399.0,36.662
HD 3651 b,HD 3651,Radial Velocity,2003,62.25,nan,72.465,nan,5221.0,11.134
HD 6434 b,HD 6434,Radial Velocity,2003,21.998,nan,155.737,nan,5769.0,42.358
HD 65216 b,HD 65216,Radial Velocity,2003,577.6,nan,411.59,nan,5612.0,35.12
HD 70642 b,HD 70642,Radial Velocity,2003,2124.54,nan,633.435,nan,5732.0,29.276
HD 82943 b,HD 82943,Radial Velocity,2003,441.47,nan,534.25,nan,5935.0,27.59
HD 82943 c,HD 82943,Radial Velocity,2003,220.078,nan,622.603,nan,5935.0,27.59
gam Cep b,gam Cep,Radial Velocity,2003,913.0,nan,2097.667,nan,4775.0,14.102
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3936,nan,56.6,nan,5198.0,12.586
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365,1.875,7.99,nan,5172.0,12.586
HD 117207 b,HD 117207,Radial Velocity,2004,2621.75,nan,612.141,nan,5732.0,32.355
HD 117618 b,HD 117618,Radial Velocity,2004,25.8,nan,55.302,nan,5990.0,37.778
HD 154857 b,HD 154857,Radial Velocity,2004,408.6,nan,778.684,nan,5589.0,63.448
HD 160691 c,HD 160691,Radial Velocity,2004,3947.0,nan,1398.445,nan,5773.0,15.598
HD 188015 b,HD 188015,Radial Velocity,2004,461.2,nan,476.72,nan,5746.0,50.671
HD 202206 c,HD 202206,Radial Velocity,2004,1260.0,nan,5689.157,nan,5766.0,45.966
HD 208487 b,HD 208487,Radial Velocity,2004,129.36,nan,146.201,nan,6134.0,45.147
HD 330075 b,HD 330075,Radial Velocity,2004,3.3877,nan,152.558,nan,5000.0,45.299
HD 37605 b,HD 37605,Radial Velocity,2004,55.0129,nan,854.963,nan,5329.0,46.786
HD 45350 b,HD 45350,Radial Velocity,2004,963.6,nan,568.89,nan,5566.0,46.873
HD 88133 b,HD 88133,Radial Velocity,2004,3.4149,nan,90.423,nan,5392.0,73.612
HD 99492 b,HD 99492,Radial Velocity,2004,17.0503,nan,25.5,nan,4929.0,18.204
OGLE-TR-10 b,OGLE-TR-10,Transit,2004,3.1013,14.011,197.046,nan,5950.0,1344.97
OGLE-TR-113 b,OGLE-TR-113,Transit,2004,1.4325,12.251,400.449,nan,4790.0,566.459
OGLE-TR-132 b,OGLE-TR-132,Transit,2004,1.6899,13.45,375.02,2013.0,6210.0,2012.62
TrES-1 b,TrES-1,Transit,2004,3.0301,12.666,266.977,nan,5230.0,159.658
GJ 581 b,GJ 581,Radial Velocity,2005,5.3686,nan,20.5,nan,3500.0,6.298
HD 101930 b,HD 101930,Radial Velocity,2005,70.46,nan,79.458,nan,5108.0,30.027
HD 102117 b,HD 102117,Radial Velocity,2005,20.8133,nan,54.031,nan,5655.0,39.579
HD 107148 b,HD 107148,Radial Velocity,2005,48.056,nan,66.741,nan,5797.0,49.416
HD 108874 c,HD 108874,Radial Velocity,2005,1624.0,nan,314.64,nan,5551.0,59.518
HD 109749 b,HD 109749,Radial Velocity,2005,5.2399,nan,85.814,nan,5824.0,63.082
HD 118203 b,HD 118203,Radial Velocity,2005,6.135,12.778,680.153,1361.0,5742.0,92.259
HD 11964 b,HD 11964,Radial Velocity,2005,1945.0,nan,198.0,nan,5303.0,33.537
HD 11977 b,HD 11977,Radial Velocity,2005,711.0,nan,2080.0,nan,4970.0,67.933
HD 13189 b,HD 13189,Radial Velocity,2005,471.6,nan,3480.238,nan,4175.0,497.823
HD 142022 A b,HD 142022 A,Radial Velocity,2005,1928.0,nan,1411.165,nan,5421.0,34.28
HD 149026 b,HD 149026,Radial Velocity,2005,2.8759,8.295,120.775,nan,6179.0,75.864
HD 149143 b,HD 149143,Radial Velocity,2005,4.0718,nan,422.714,nan,5856.0,73.28
HD 164922 b,HD 164922,Radial Velocity,2005,1207.0,nan,116.0,nan,5390.0,22.002
HD 189733 b,HD 189733,Radial Velocity,2005,2.2186,12.666,359.148,nan,5052.0,19.764
HD 212301 b,HD 212301,Radial Velocity,2005,2.2457,nan,162.093,nan,6239.0,54.23
HD 2638 b,HD 2638,Radial Velocity,2005,3.4442,nan,133.489,nan,5186.0,54.962
HD 33564 b,HD 33564,Radial Velocity,2005,388.0,nan,2892.1,nan,6250.0,20.953
HD 4308 b,HD 4308,Radial Velocity,2005,15.56,nan,15.892,nan,5686.0,22.016
HD 50499 b,HD 50499,Radial Velocity,2005,2447.1,nan,519.97,nan,6102.0,46.284
HD 63454 b,HD 63454,Radial Velocity,2005,2.818,nan,79.458,nan,4812.0,37.689
HD 93083 b,HD 93083,Radial Velocity,2005,144.72,nan,143.341,nan,5033.8,28.516
HD 99109 b,HD 99109,Radial Velocity,2005,439.3,nan,139.845,nan,5282.0,54.79
HIP 14810 b,HIP 14810,Radial Velocity,2005,6.6739,nan,1239.537,nan,5544.0,50.48
4 UMa b,4 UMa,Radial Velocity,2006,270.27,nan,2511.48,nan,4415.0,73.46
GJ 849 b,GJ 849,Radial Velocity,2006,1925.31,nan,283.821,nan,3467.0,8.801
HAT-P-1 b,HAT-P-1,Transit,2006,4.4653,14.785,166.861,1322.0,5980.0,158.979
HD 102195 b,HD 102195,Radial Velocity,2006,4.1138,nan,130.31,nan,5301.0,29.339
HD 10647 b,HD 10647,Radial Velocity,2006,989.2,nan,298.75,nan,6218.0,17.336
HD 159868 b,HD 159868,Radial Velocity,2006,1184.1,nan,704.947,nan,5534.0,55.85
HD 160691 e,HD 160691,Radial Velocity,2006,307.9,nan,2224.799,nan,5773.0,15.598
HD 185269 b,HD 185269,Radial Velocity,2006,6.8378,nan,321.008,nan,5923.0,51.992
HD 187085 b,HD 187085,Radial Velocity,2006,1019.74,nan,265.706,nan,6117.0,45.899
HD 20782 b,HD 20782,Radial Velocity,2006,597.0643,nan,472.83,nan,5782.1,35.986
HD 224693 b,HD 224693,Radial Velocity,2006,26.6904,nan,222.481,nan,5894.0,93.502
HD 23127 b,HD 23127,Radial Velocity,2006,1211.17,nan,485.326,nan,5843.0,93.856
HD 24040 b,HD 24040,Radial Velocity,2006,3668.0,nan,1226.824,nan,5802.0,46.622
HD 33283 b,HD 33283,Radial Velocity,2006,18.1991,nan,104.566,nan,5935.0,89.862
HD 62509 b,HD 62509,Radial Velocity,2006,589.64,nan,731.0,nan,4892.6,nan
HD 69830 b,HD 69830,Radial Velocity,2006,8.667,nan,10.2,nan,5385.0,12.559
HD 69830 c,HD 69830,Radial Velocity,2006,31.56,nan,11.8,nan,5385.0,12.559
HD 69830 d,HD 69830,Radial Velocity,2006,197.0,nan,18.1,nan,5385.0,12.559
HD 86081 b,HD 86081,Radial Velocity,2006,2.1378,nan,470.388,nan,5939.0,103.936
HIP 14810 c,HIP 14810,Radial Velocity,2006,147.747,nan,416.357,nan,5544.0,50.48
Oph 11 b,Oph 11,Imaging,2006,7300000.0,nan,4449.62,2175.0,2375.0,nan
TrES-2 b,TrES-2,Transit,2006,2.4706,15.244,473.567,nan,5850.0,215.32
XO-1 b,XO-1,Transit,2006,3.9415,12.778,263.799,nan,5750.0,163.553
eps Tau b,eps Tau,Radial Velocity,2006,585.82,nan,2285.186,nan,4877.0,47.529
11 Com b,11 Com,Radial Velocity,2007,323.21,nan,4914.898,nan,4874.0,93.185
55 Cnc f,55 Cnc,Radial Velocity,2007,260.58,nan,48.5,nan,5198.0,12.586
BD-13 2130 b,BD-13 2130,Radial Velocity,2007,714.3,nan,3108.377,nan,4545.0,925.214
GJ 317 b,GJ 317,Radial Velocity,2007,695.69,nan,536.494,nan,3496.0,15.197
GJ 581 c,GJ 581,Radial Velocity,2007,12.9211,nan,6.81,nan,3500.0,6.298
GJ 674 b,GJ 674,Radial Velocity,2007,4.6938,nan,11.09,nan,3600.0,4.549
HAT-P-2 b,HAT-P-2,Transit,2007,5.6335,nan,2739.695,nan,6380.0,127.774
HAT-P-3 b,HAT-P-3,Transit,2007,2.8997,10.536,206.59,nan,5185.0,134.554
HAT-P-4 b,HAT-P-4,Transit,2007,3.0565,14.28,213.255,1686.0,5860.0,320.451
HAT-P-5 b,HAT-P-5,Transit,2007,2.7885,13.563,311.473,nan,5960.0,303.336
HAT-P-6 b,HAT-P-6,Transit,2007,3.853,16.589,419.536,nan,6570.0,275.358
HD 11506 b,HD 11506,Radial Velocity,2007,1617.7,nan,1525.576,nan,6123.0,51.261
HD 155358 b,HD 155358,Radial Velocity,2007,194.3,nan,314.652,nan,5905.0,43.62
HD 155358 c,HD 155358,Radial Velocity,2007,391.9,nan,261.0,nan,5900.0,43.62
HD 156846 b,HD 156846,Radial Velocity,2007,359.51,nan,3391.246,nan,6090.0,47.733
HD 167042 b,HD 167042,Radial Velocity,2007,417.67,nan,444.006,nan,4919.0,49.663
HD 170469 b,HD 170469,Radial Velocity,2007,1145.0,nan,209.768,nan,5842.0,60.178
HD 17092 b,HD 17092,Radial Velocity,2007,359.9,nan,3219.618,nan,4326.0,228.422
HD 171028 b,HD 171028,Radial Velocity,2007,550.0,nan,832.715,nan,5671.0,111.659
HD 17156 b,HD 17156,Radial Velocity,2007,21.2164,12.263,1036.121,888.0,6046.0,78.086
HD 175541 b,HD 175541,Radial Velocity,2007,298.43,nan,190.062,nan,5013.0,129.603
HD 190647 b,HD 190647,Radial Velocity,2007,1176.45,nan,630.893,nan,5656.0,54.474
HD 192699 b,HD 192699,Radial Velocity,2007,340.94,nan,666.172,nan,5041.0,71.863
HD 196885 A b,HD 196885 A,Radial Velocity,2007,1333.0,nan,819.97,nan,6254.0,34.169
HD 210702 b,HD 210702,Radial Velocity,2007,355.5,nan,481.51,nan,4912.0,54.196
HD 221287 b,HD 221287,Radial Velocity,2007,456.1,nan,982.05,nan,6304.0,55.923
HD 231701 b,HD 231701,Radial Velocity,2007,141.63,nan,359.148,nan,6101.0,108.877
HD 43691 b,HD 43691,Radial Velocity,2007,36.9987,nan,810.466,nan,6093.0,85.601
HD 5319 b,HD 5319,Radial Velocity,2007,637.1,nan,494.543,nan,4871.0,121.405
HD 70573 b,HD 70573,Radial Velocity,2007,851.8,nan,1900.0,nan,5737.0,59.182
HD 75898 b,HD 75898,Radial Velocity,2007,422.82,nan,810.462,nan,6122.0,78.05
HD 81688 b,HD 81688,Radial Velocity,2007,183.93,nan,525.688,nan,4797.0,85.718
Lupus-TR-3 b,Lupus-TR-3,Transit,2007,3.914,9.976,257.431,nan,5000.0,773.409
OGLE-TR-182 b,OGLE-TR-182,Transit,2007,3.9791,12.666,320.995,nan,5924.0,2501.75
OGLE-TR-211 b,OGLE-TR-211,Transit,2007,3.6772,15.244,327.351,nan,6325.0,1515.26
TrES-3 b,TrES-3,Transit,2007,1.3062,14.975,607.03,nan,5650.0,231.337
TrES-4 b,TrES-4,Transit,2007,3.554,18.046,247.907,nan,6200.0,515.98
V0391 Peg b,V0391 Peg,Pulsation Timing Variations,2007,1170.0,nan,1017.056,nan,29300.0,1195.98
WASP-2 b,WASP-2,Transit,2007,2.1522,12.117,295.9,1311.0,5180.0,153.242
WASP-3 b,WASP-3,Transit,2007,1.8468,15.917,772.327,nan,6400.0,231.161
XO-3 b,XO-3,Transit,2007,3.1915,14.796,4217.583,1890.0,6970.0,213.053
kap CrB b,kap CrB,Radial Velocity,2007,1253.68,nan,483.735,nan,4840.0,30.065
xi Aql b,xi Aql,Radial Velocity,2007,136.97,nan,616.905,nan,4841.0,56.186
14 And b,14 And,Radial Velocity,2008,186.76,nan,1131.151,nan,4888.0,75.439
18 Del b,18 Del,Radial Velocity,2008,982.85,nan,2926.246,nan,4980.0,76.222
6 Lyn b,6 Lyn,Radial Velocity,2008,919.86,nan,597.835,nan,4941.0,54.66
81 Cet b,81 Cet,Radial Velocity,2008,1005.57,nan,1051.059,nan,4734.0,101.26
CoRoT-1 b,CoRoT-1,Transit,2008,1.509,16.7,327.35,1898.0,5950.0,787.909
CoRoT-2 b,CoRoT-2,Transit,2008,1.743,16.432,1102.82,nan,5625.0,213.283
CoRoT-3 b,CoRoT-3,Transit,2008,4.2568,11.32,6883.91,nan,6740.0,768.771
CoRoT-4 b,CoRoT-4,Transit,2008,9.202,13.34,228.83,1074.0,6190.0,726.412
HAT-P-7 b,HAT-P-7,Transit,2008,2.2047,16.926,584.807,nan,6389.0,341.079
HAT-P-8 b,HAT-P-8,Transit,2008,3.0763,15.693,406.822,nan,6200.0,211.553
HAT-P-9 b,HAT-P-9,Transit,2008,3.9228,15.614,238.055,1540.0,6350.0,455.203
HD 102272 b,HD 102272,Radial Velocity,2008,127.58,nan,1570.08,nan,4790.0,347.097
HD 11506 c,HD 11506,Radial Velocity,2008,223.92,nan,127.131,nan,6123.0,51.261
HD 11964 c,HD 11964,Radial Velocity,2008,37.91,nan,25.0,nan,5303.0,33.537
HD 143361 b,HD 143361,Radial Velocity,2008,1039.15,nan,1122.576,nan,5507.0,68.515
HD 145377 b,HD 145377,Radial Velocity,2008,103.95,nan,1913.337,nan,6014.0,53.488
HD 153950 b,HD 153950,Radial Velocity,2008,499.4,nan,937.598,nan,6124.0,48.455
HD 154672 b,HD 154672,Radial Velocity,2008,163.94,nan,1706.747,nan,5743.0,63.048
HD 173416 b,HD 173416,Radial Velocity,2008,322.03,nan,585.122,nan,4683.0,132.184
HD 179079 b,HD 179079,Radial Velocity,2008,14.479,nan,25.744,nan,5646.0,69.712
HD 187123 c,HD 187123,Radial Velocity,2008,3810.0,nan,632.46,nan,5790.0,45.955
HD 205739 b,HD 205739,Radial Velocity,2008,279.8,nan,435.41,nan,6176.0,92.509
HD 20868 b,HD 20868,Radial Velocity,2008,380.85,nan,397.288,nan,4802.0,47.722
HD 45364 b,HD 45364,Radial Velocity,2008,225.79,nan,60.165,nan,5466.0,34.354
HD 45364 c,HD 45364,Radial Velocity,2008,345.43,nan,174.488,nan,5466.0,34.354
HD 45652 b,HD 45652,Radial Velocity,2008,44.073,nan,137.62,nan,5294.0,34.854
HD 47186 b,HD 47186,Radial Velocity,2008,4.0845,nan,22.248,nan,5657.0,37.457
HD 48265 b,HD 48265,Radial Velocity,2008,778.51,nan,484.691,nan,5733.0,90.545
HD 60532 b,HD 60532,Radial Velocity,2008,201.9,nan,336.9,nan,6245.0,25.972
HD 60532 c,HD 60532,Radial Velocity,2008,600.1,nan,797.753,nan,6245.0,25.972
HD 73534 b,HD 73534,Radial Velocity,2008,1750.0,nan,353.427,nan,4917.0,83.332
HD 7924 b,HD 7924,Radial Velocity,2008,5.3979,nan,6.357,nan,5131.0,16.992
OGLE2-TR-L9 b,OGLE2-TR-L9,Transit,2008,2.4855,18.046,1430.175,nan,6933.0,1627.63
WASP-10 b,WASP-10,Transit,2008,3.0928,12.106,1001.12,1370.0,4675.0,140.998
WASP-11 b,WASP-11,Transit,2008,3.7225,12.442,251.086,nan,4800.0,124.73
WASP-12 b,WASP-12,Transit,2008,1.0914,22.026,nan,nan,6265.0,427.246
WASP-14 b,WASP-14,Transit,2008,2.2438,15.468,2809.617,nan,6475.0,161.997
WASP-5 b,WASP-5,Transit,2008,1.6284,12.184,502.15,1706.0,5700.0,309.137
WASP-7 b,WASP-7,Transit,2008,4.9546,14.908,305.117,1487.0,6400.0,162.303
XO-5 b,XO-5,Transit,2008,4.1878,12.78,378.2,1230.0,5430.0,276.211
11 UMi b,11 UMi,Radial Velocity,2009,516.22,nan,4684.814,nan,4213.0,125.321
47 UMa d,47 UMa,Radial Velocity,2009,14002.0,nan,521.22,nan,5872.0,13.797
61 Vir b,61 Vir,Radial Velocity,2009,4.215,nan,5.1,nan,5577.0,8.503
61 Vir c,61 Vir,Radial Velocity,2009,38.021,nan,18.2,nan,5577.0,8.503
61 Vir d,61 Vir,Radial Velocity,2009,123.01,nan,22.9,nan,5577.0,8.503
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,268.94,nan,330.543,nan,4864.0,49.352
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,379.63,nan,6807.63,nan,4137.0,1539.71
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,621.99,nan,3963.17,nan,4137.0,1539.71
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,5.6,nan,12.713,nan,4816.0,41.334
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,237.6,nan,104.0,nan,4746.0,41.334
CoRoT-5 b,CoRoT-5,Transit,2009,4.0379,15.558,148.42,1438.0,6100.0,882.472
CoRoT-6 b,CoRoT-6,Transit,2009,8.8866,13.068,940.74,1017.0,6090.0,645.294
CoRoT-7 b,CoRoT-7,Transit,2009,0.8536,1.681,4.077,nan,5275.0,159.906
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,3.698,nan,8.4,nan,5256.0,159.906
CoRoT-9 b,CoRoT-9,Transit,2009,95.2727,11.949,266.977,420.0,5625.0,412.98
GJ 1214 b,GJ 1214,Transit,2009,1.5804,2.733,8.41,567.0,3101.0,14.643
GJ 179 b,GJ 179,Radial Velocity,2009,2288.0,nan,260.61,nan,3370.0,12.356
GJ 581 e,GJ 581,Radial Velocity,2009,3.1481,nan,2.48,nan,3500.0,6.298
GJ 649 b,GJ 649,Radial Velocity,2009,600.1,nan,82.0,nan,3734.0,10.38
HAT-P-12 b,HAT-P-12,Transit,2009,3.2131,10.749,67.059,963.0,4650.0,142.751
HD 103197 b,HD 103197,Radial Velocity,2009,47.84,nan,28.605,nan,5250.0,57.146
HD 104067 b,HD 104067,Radial Velocity,2009,55.851,nan,62.1,nan,4952.0,20.363
HD 110014 b,HD 110014,Radial Velocity,2009,835.477,nan,3524.59,nan,4445.0,100.758
HD 125595 b,HD 125595,Radial Velocity,2009,9.6737,nan,6.357,nan,4691.0,28.199
HD 134987 c,HD 134987,Radial Velocity,2009,5000.0,nan,260.0,nan,5585.0,26.18
HD 136418 b,HD 136418,Radial Velocity,2009,464.3,nan,680.156,nan,4989.0,105.168
HD 13931 b,HD 13931,Radial Velocity,2009,4218.0,nan,699.226,nan,5867.0,47.396
HD 147018 b,HD 147018,Radial Velocity,2009,44.236,nan,674.0,nan,5441.0,40.426
HD 147018 c,HD 147018,Radial Velocity,2009,1008.0,nan,2080.0,nan,5441.0,40.426
HD 148156 b,HD 148156,Radial Velocity,2009,1027.0,nan,270.144,nan,6308.0,57.129
HD 152079 b,HD 152079,Radial Velocity,2009,2918.92,nan,845.746,nan,5907.0,87.889
HD 156411 b,HD 156411,Radial Velocity,2009,842.2,nan,235.18,nan,5900.0,56.866
HD 16175 b,HD 16175,Radial Velocity,2009,990.0,nan,1620.933,nan,5981.0,59.859
HD 164604 b,HD 164604,Radial Velocity,2009,653.9,nan,4195.335,nan,4663.0,39.363
HD 180902 b,HD 180902,Radial Velocity,2009,510.9,nan,535.544,nan,4961.0,104.577
HD 181342 b,HD 181342,Radial Velocity,2009,564.1,nan,807.288,nan,4945.0,120.391
HD 181720 b,HD 181720,Radial Velocity,2009,956.0,nan,127.132,nan,5736.0,60.205
HD 190984 b,HD 190984,Radial Velocity,2009,4885.0,nan,985.2,nan,5988.0,148.187
HD 206610 b,HD 206610,Radial Velocity,2009,673.2,nan,647.102,nan,4842.0,147.192
HD 212771 b,HD 212771,Radial Velocity,2009,380.7,nan,759.614,nan,5003.0,111.155
HD 215497 b,HD 215497,Radial Velocity,2009,3.934,nan,6.357,nan,5110.0,40.547
HD 240210 b,HD 240210,Radial Velocity,2009,501.75,nan,1655.82,nan,4297.0,372.405
HD 290327 b,HD 290327,Radial Velocity,2009,2443.0,nan,772.327,nan,5505.0,56.433
HD 30562 b,HD 30562,Radial Velocity,2009,1157.0,nan,387.753,nan,5882.0,26.16
HD 32518 b,HD 32518,Radial Velocity,2009,157.35,nan,905.493,nan,4580.0,122.115
HD 34445 b,HD 34445,Radial Velocity,2009,1049.0,nan,260.621,nan,5879.0,46.091
HD 38801 b,HD 38801,Radial Velocity,2009,685.25,nan,3082.315,nan,5338.0,91.435
HD 40307 b,HD 40307,Radial Velocity,2009,4.3123,nan,4.0,nan,4956.0,12.936
HD 40307 c,HD 40307,Radial Velocity,2009,9.6184,nan,6.6,nan,4956.0,12.936
HD 40307 d,HD 40307,Radial Velocity,2009,20.432,nan,9.5,nan,4956.0,12.936
HD 4313 b,HD 4313,Radial Velocity,2009,356.21,nan,612.458,nan,4943.0,136.308
HD 63765 b,HD 63765,Radial Velocity,2009,358.0,nan,168.45,nan,5449.0,32.538
HD 85390 b,HD 85390,Radial Velocity,2009,799.52,nan,31.465,nan,5186.0,33.522
HD 86226 b,HD 86226,Radial Velocity,2009,1628.0,nan,143.024,176.0,5863.0,45.683
HD 89307 b,HD 89307,Radial Velocity,2009,2166.0,nan,670.621,nan,5955.0,32.01
HD 90156 b,HD 90156,Radial Velocity,2009,49.77,nan,17.98,nan,5599.0,21.95
HD 9446 b,HD 9446,Radial Velocity,2009,30.052,nan,222.472,nan,5793.0,50.35
HD 9446 c,HD 9446,Radial Velocity,2009,192.9,nan,578.426,nan,5793.0,50.35
HD 95089 b,HD 95089,Radial Velocity,2009,464.4,nan,400.466,nan,4918.0,136.957
HD 96167 b,HD 96167,Radial Velocity,2009,498.04,nan,227.884,nan,5733.0,85.301
