pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,sy_dist
KELT-8 b,KELT-8,Transit,2015,3.2441,18.159,209.768,nan,5754.0,197.572
KIC 10525077 b,KIC 10525077,Transit,2015,854.083,5.5,nan,nan,6091.0,1461.15
KIC 3558849 b,KIC 3558849,Transit,2015,1322.3,6.9,nan,nan,6175.0,1215.7
KIC 5437945 b,KIC 5437945,Transit,2015,440.7813,6.4,nan,nan,6340.0,1274.01
KIC 8540376 b,KOI-7892,Transit,2015,31.8099,4.1,nan,nan,6474.0,1072.3
KIC 8540376 c,KOI-7892,Transit,2015,75.2,2.4,nan,nan,6474.0,1072.3
KIC 9663113 b,KIC 9663113,Transit,2015,572.3847,4.6,nan,nan,6065.0,1594.74
Kepler-430 b,Kepler-430,Transit,2015,35.968,3.25,nan,667.0,5884.0,917.477
Kepler-430 c,Kepler-430,Transit,2015,110.979,1.75,nan,458.0,5884.0,917.477
Kepler-431 b,Kepler-431,Transit,2015,6.803,0.764,nan,1032.0,6004.0,486.546
Kepler-431 c,Kepler-431,Transit,2015,8.703,0.668,nan,951.0,6004.0,486.546
Kepler-431 d,Kepler-431,Transit,2015,11.922,1.11,nan,856.0,6004.0,486.546
Kepler-432 b,Kepler-432,Transit,2015,52.5011,12.834,1719.46,nan,4995.0,848.023
Kepler-432 c,Kepler-432,Radial Velocity,2015,406.2,nan,772.327,nan,4995.0,848.023
Kepler-433 b,Kepler-433,Transit,2015,5.3341,16.25,896.24,1776.0,6360.0,1878.31
Kepler-434 b,Kepler-434,Transit,2015,12.8747,12.67,908.96,1000.0,5977.0,1222.54
Kepler-435 b,Kepler-435,Transit,2015,8.6002,22.31,266.97,1729.0,6161.0,1418.77
Kepler-436 b,Kepler-436,Transit,2015,64.002,2.73,nan,nan,4651.0,588.867
Kepler-437 b,Kepler-437,Transit,2015,66.6506,2.14,nan,nan,4551.0,nan
Kepler-438 b,Kepler-438,Transit,2015,35.2332,1.12,nan,nan,3748.0,nan
Kepler-439 b,Kepler-439,Transit,2015,178.1396,2.24,nan,nan,5431.0,757.048
Kepler-440 b,Kepler-440,Transit,2015,101.1114,1.86,nan,nan,4134.0,301.03
Kepler-441 b,Kepler-441,Transit,2015,207.2482,1.64,nan,nan,4340.0,268.003
Kepler-442 b,Kepler-442,Transit,2015,112.3053,1.34,nan,nan,4402.0,365.965
Kepler-443 b,Kepler-443,Transit,2015,177.6693,2.33,nan,nan,4723.0,802.271
Kepler-444 b,Kepler-444,Transit,2015,3.6001,0.403,nan,nan,5046.0,36.44
Kepler-444 c,Kepler-444,Transit,2015,4.5459,0.497,nan,nan,5046.0,36.44
Kepler-444 d,Kepler-444,Transit,2015,6.1894,0.53,nan,nan,5046.0,36.44
Kepler-444 e,Kepler-444,Transit,2015,7.7435,0.546,nan,nan,5046.0,36.44
Kepler-444 f,Kepler-444,Transit,2015,9.7405,0.741,nan,nan,5046.0,36.44
Kepler-445 b,Kepler-445,Transit,2015,2.9842,1.58,nan,nan,3157.0,127.201
Kepler-445 c,Kepler-445,Transit,2015,4.8712,2.51,nan,nan,3157.0,127.201
Kepler-445 d,Kepler-445,Transit,2015,8.1528,1.25,nan,nan,3157.0,127.201
Kepler-446 b,Kepler-446,Transit,2015,1.5654,1.5,nan,nan,3359.0,96.339
Kepler-446 c,Kepler-446,Transit,2015,3.0362,1.11,nan,nan,3359.0,96.339
Kepler-446 d,Kepler-446,Transit,2015,5.1489,1.35,nan,nan,3359.0,96.339
Kepler-447 b,Kepler-447,Transit,2015,7.7943,18.49,435.41,nan,5493.0,268.041
Kepler-449 b,Kepler-449,Transit,2015,12.5824,2.056,nan,nan,5649.2,241.949
